"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene4494",152.961267881565,0.174984953163459,0.0861981633463228,2.03003110936845,0.042353377186237,0.132234191598915
"gene4495",118.83691257609,0.0889956891139025,0.100329144441479,0.887037257312733,0.375058841925837,0.567985554349878
"gene4496",476.921546692774,0.117613851567175,0.0582350775622061,2.0196393048767,0.043420815046119,0.134046312540996
"gene4497",406.481188406322,0.0967958620641327,0.0585758414703701,1.65248777711705,0.0984351548046421,0.23480065592734
"gene4490",111.669149313479,0.072542834244649,0.108130329852791,0.670883315933737,0.502294865669554,0.6793227801806
"gene4491",447.22845547334,-0.0736398153743123,0.0612484712648861,-1.20231270844029,0.229242394986537,0.413978443436321
"gene4492",629.733606807597,0.0583391429747388,0.0708070461849653,0.823917196352786,0.409986608714209,0.599645218413723
"gene4493",2895.97742459177,0.156867586435687,0.162716685229797,0.964053478683826,0.335019114717703,0.529382478636806
"gene4498",1146.22298928364,0.0851996215847359,0.0713206645021323,1.19459937984998,0.232243591665828,0.417781584203284
"gene4499",53.0723632354754,0.0403826693939005,0.160655977407506,0.251361138536845,0.801534910284111,0.887911724541322
"gene9310",1748.93464931124,0.230165635317502,0.0734262906113996,3.13464882130064,0.00172059954204308,0.0127459734191101
"gene3712",747.037259380412,-0.117444538246675,0.0559082443944664,-2.10066582341654,0.0356703114421557,0.116947197012859
"gene3119",374.236846527384,1.58909887429248,0.275069122149314,5.77708927078294,7.600396556245e-09,5.78600401664779e-07
"gene4728",3.28749232793619,-2.54951940367867,0.790113501504562,-3.2267761515577,0.00125193359988227,0.0101868389837129
"gene4729",27.442935572075,-0.0726045847670381,0.248077214961511,-0.29266929967068,0.769774938175528,0.868152978231271
"gene10606",31.077876036239,-0.361512883710058,0.239264246080087,-1.51093566896347,0.130804841979746,0.285377880855811
"gene4722",844.361596606817,-0.405487595720698,0.23749214353601,-1.70737267213732,0.087752806414334,0.217437355505877
"gene3111",6.22166618064503,0.435428941596776,0.931836286981921,0.467280516631376,0.640299194047982,0.780624422938946
"gene4721",540.513934826527,-0.173444604370909,0.083872455365974,-2.06795668034386,0.0386440967825959,0.12374872758484
"gene4726",118.732794401252,-0.199483643944707,0.217006034061147,-0.91925390373476,0.35796278250195,0.552144346511845
"gene4727",45.6214821684217,-1.1138385099189,0.238339965020302,-4.67331825707042,2.9637196956217e-06,8.98660090757155e-05
"gene4724",132.09260210011,0.108515086535786,0.143918597851207,0.754003222349179,0.450847286835966,0.63542473436151
"gene4725",722.523484062062,-0.189893183039935,0.20235500203585,-0.938416056581061,0.348030637522918,0.542196214537379
"gene3713",477.015521604948,0.357365996283173,0.0699551354181845,5.10850267313295,3.2472181204605e-07,1.38316028988187e-05
"gene10306",9.41893219405879,-0.265653678071012,0.479104807128369,-0.554479258230098,0.579250896962974,0.735270098156187
"gene10307",348.778296155025,-0.384745215145766,0.540040869398097,-0.71243721901008,0.476194074935703,0.657121589618472
"gene5573",404.749866690408,0.0468511976592148,0.0716233039433541,0.654133432552466,0.513025843803574,0.688034934318021
"gene9684",7582.31101030416,0.510609262259363,0.327068163534058,1.56117078697632,0.118483459717097,0.2662900872285
"gene5574",2.26646067160494,-1.34411508665139,0.88816589327338,-1.51336039452899,0.130188139467499,0.284610893899009
"gene5575",4.38032840654746,-1.50171719804684,0.616524552195305,-2.43577841741997,0.0148597840853343,0.0634353721649746
"gene10300",114.94958468414,0.241022117552941,0.0874545261857671,2.75597076634973,0.00585182268540326,0.0315487015093514
"gene5577",265.204382222284,0.134323299471579,0.0661291345658647,2.03122723975455,0.0422319483527796,0.131931820028736
"gene11283",34.6566132129337,0.455273324830789,0.231910493731243,1.96314240682182,0.0496296292277142,0.147528230443169
"gene3711",331.063438745408,0.0889975956101419,0.0899009788171077,0.989951352934615,0.322197897340997,0.516806968030224
"gene11268",350.348314836044,-0.0696772605524408,0.138456232214004,-0.503243945312223,0.614792771542989,0.761774529825735
"gene11263",396.111272394442,0.140453600413065,0.108093556674996,1.29937070009978,0.193816741881435,0.370512717249389
"gene11261",0.45786135058077,2.42685618793357,1.83223308485331,1.32453463917658,0.185325546814453,0.359725934811273
"gene11265",76.275120588639,-2.55269141030453,0.562868969502535,-4.53514325467364,5.756440054527e-06,0.000157225515382424
"gene10243",37.4657679361418,-0.494566188195067,0.193493450498676,-2.55598412721701,0.010588794889382,0.049481987088649
"gene10242",540.726647030781,-0.426347123855675,0.126054137988994,-3.3822540906424,0.000718936129371388,0.00666988799712401
"gene5459",1299.09633100909,-0.182180239381754,0.0793925882950772,-2.29467565290412,0.0217517191077369,0.0832381293769869
"gene5458",1155.13189618121,-0.223049244900013,0.0808753882575009,-2.75793723783856,0.00581673647738118,0.0314432821057736
"gene10247",216.461144893306,0.155267825982162,0.128717978895888,1.20626370390533,0.227715827927563,0.412331595306083
"gene10246",1977.26691027275,-0.0328044738296805,0.144048377219617,-0.227732338696648,0.81985433028436,0.899327470553105
"gene10245",857.826447389855,0.0904994468373214,0.151254686106891,0.598324912547606,0.549623156868484,0.713812346079686
"gene10244",389.977711171527,0.789842009473496,0.226513448778739,3.48695414657266,0.000488555113573504,0.00506192141804825
"gene5453",97.0634067948694,-0.260977032728767,0.115595225945496,-2.25768002609225,0.0239656153849748,0.0883941773139234
"gene5452",4120.13588452506,-0.150924472217783,0.117394252441119,-1.28562062519612,0.19857549499151,0.376743199189765
"gene10249",971.154679398534,-0.0928698558375556,0.0487399590687039,-1.90541513805225,0.056726128971486,0.161768934213584
